Period,Parameters,Final Value,Total Return %,CAGR %,Max Drawdown %,Sharpe Ratio,Trades,vs QQQ %,QQQ Return %
4Y,EMA(12/21) | SL:15%,21449.514149240295,114.49514149240298,21.035038992213597,-41.29066808045036,0.6616864998229364,22,57.9725310980518,56.52261039435118
4Y,EMA(12/21) | SL:15%,21449.514149240295,114.49514149240298,21.035038992213597,-41.29066808045036,0.6616864998229364,22,57.9725310980518,56.52261039435118
4Y,EMA(12/21) | SL:15%,21449.514149240295,114.49514149240298,21.035038992213597,-41.29066808045036,0.6616864998229364,22,57.9725310980518,56.52261039435118
4Y,EMA(12/21) | SL:15%,21449.514149240295,114.49514149240298,21.035038992213597,-41.29066808045036,0.6616864998229364,22,57.9725310980518,56.52261039435118
4Y,"EMA(12/21) | SL:15% | Pivot(7,7)",21449.514149240295,114.49514149240298,21.035038992213597,-41.29066808045036,0.6616864998229364,22,57.9725310980518,56.52261039435118
4Y,"EMA(12/21) | SL:15% | Pivot(7,5)",21449.514149240295,114.49514149240298,21.035038992213597,-41.29066808045036,0.6616864998229364,22,57.9725310980518,56.52261039435118
4Y,"EMA(12/21) | SL:15% | Pivot(5,7)",21449.514149240295,114.49514149240298,21.035038992213597,-41.29066808045036,0.6616864998229364,22,57.9725310980518,56.52261039435118
4Y,"EMA(12/21) | SL:15% | Pivot(5,5)",21449.514149240295,114.49514149240298,21.035038992213597,-41.29066808045036,0.6616864998229364,22,57.9725310980518,56.52261039435118
4Y,EMA(12/50) | RSI>50 | SL:15%,21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,EMA(12/50) | RSI>50 | SL:15%,21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,EMA(12/50) | RSI>50 | SL:15%,21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,EMA(12/50) | RSI>50 | SL:15%,21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,"EMA(12/50) | RSI>50 | SL:15% | Pivot(7,7)",21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,"EMA(12/50) | RSI>50 | SL:15% | Pivot(7,5)",21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,"EMA(12/50) | RSI>50 | SL:15% | Pivot(5,7)",21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,"EMA(12/50) | RSI>50 | SL:15% | Pivot(5,5)",21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,EMA(12/50) | RSI>50,21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,EMA(12/50) | RSI>50,21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,EMA(12/50) | RSI>50,21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,EMA(12/50) | RSI>50,21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,"EMA(12/50) | RSI>50 | Pivot(7,7)",21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,"EMA(12/50) | RSI>50 | Pivot(7,5)",21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,"EMA(12/50) | RSI>50 | Pivot(5,7)",21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,"EMA(12/50) | RSI>50 | Pivot(5,5)",21263.760340256333,112.63760340256331,20.771961516180504,-33.789293550118884,0.7628285387770027,86,56.11499300821215,56.52261039435118
4Y,EMA(12/50) | RSI>50 | SL:10%,20913.439113502827,109.13439113502828,20.271085710834047,-33.564918370614336,0.749542925250524,86,52.6117807406771,56.52261039435118
4Y,EMA(12/50) | RSI>50 | SL:10%,20913.439113502827,109.13439113502828,20.271085710834047,-33.564918370614336,0.749542925250524,86,52.6117807406771,56.52261039435118
4Y,EMA(12/50) | RSI>50 | SL:10%,20913.439113502827,109.13439113502828,20.271085710834047,-33.564918370614336,0.749542925250524,86,52.6117807406771,56.52261039435118
4Y,EMA(12/50) | RSI>50 | SL:10%,20913.439113502827,109.13439113502828,20.271085710834047,-33.564918370614336,0.749542925250524,86,52.6117807406771,56.52261039435118
4Y,"EMA(12/50) | RSI>50 | SL:10% | Pivot(7,7)",20913.439113502827,109.13439113502828,20.271085710834047,-33.564918370614336,0.749542925250524,86,52.6117807406771,56.52261039435118
4Y,"EMA(12/50) | RSI>50 | SL:10% | Pivot(7,5)",20913.439113502827,109.13439113502828,20.271085710834047,-33.564918370614336,0.749542925250524,86,52.6117807406771,56.52261039435118
4Y,"EMA(12/50) | RSI>50 | SL:10% | Pivot(5,7)",20913.439113502827,109.13439113502828,20.271085710834047,-33.564918370614336,0.749542925250524,86,52.6117807406771,56.52261039435118
