Period,Parameters,Final Value,Total Return %,CAGR %,Max Drawdown %,Sharpe Ratio,Trades,vs QQQ %,QQQ Return %
9M,EMA(50),20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,EMA(50),20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,EMA(50),20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,EMA(50),20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,"EMA(50) | Pivot(7,7)",20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,"EMA(50) | Pivot(7,5)",20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,"EMA(50) | Pivot(5,7)",20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,"EMA(50) | Pivot(5,5)",20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,EMA(50) | SL:15%,20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,EMA(50) | SL:15%,20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,EMA(50) | SL:15%,20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,EMA(50) | SL:15%,20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,"EMA(50) | SL:15% | Pivot(7,7)",20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,"EMA(50) | SL:15% | Pivot(7,5)",20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,"EMA(50) | SL:15% | Pivot(5,7)",20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,"EMA(50) | SL:15% | Pivot(5,5)",20383.28945689752,103.8328945689752,162.04710258435378,-15.557494049939342,2.6532121193645226,2,72.6830239704904,31.1498705984848
9M,"EMA(12/50) | SL:15% | Pivot(5,5)",19652.175631740225,96.52175631740224,149.41317400983945,-20.244927989721024,2.46937336609992,2,65.37188571891745,31.1498705984848
9M,"EMA(12/50) | SL:15% | Pivot(5,7)",19652.175631740225,96.52175631740224,149.41317400983945,-20.244927989721024,2.46937336609992,2,65.37188571891745,31.1498705984848
9M,"EMA(12/50) | SL:15% | Pivot(7,5)",19652.175631740225,96.52175631740224,149.41317400983945,-20.244927989721024,2.46937336609992,2,65.37188571891745,31.1498705984848
9M,"EMA(12/50) | SL:15% | Pivot(7,7)",19652.175631740225,96.52175631740224,149.41317400983945,-20.244927989721024,2.46937336609992,2,65.37188571891745,31.1498705984848
9M,EMA(12/50) | SL:15%,19652.175631740225,96.52175631740224,149.41317400983945,-20.244927989721024,2.46937336609992,2,65.37188571891745,31.1498705984848
9M,EMA(12/50) | SL:15%,19652.175631740225,96.52175631740224,149.41317400983945,-20.244927989721024,2.46937336609992,2,65.37188571891745,31.1498705984848
9M,EMA(12/50) | SL:15%,19652.175631740225,96.52175631740224,149.41317400983945,-20.244927989721024,2.46937336609992,2,65.37188571891745,31.1498705984848
9M,EMA(12/50) | SL:15%,19652.175631740225,96.52175631740224,149.41317400983945,-20.244927989721024,2.46937336609992,2,65.37188571891745,31.1498705984848
9M,EMA(50) | SL:10%,19290.77595024681,92.9077595024681,143.2286498210294,-14.841884773294058,2.494592297649292,4,61.7578889039833,31.1498705984848
9M,EMA(50) | SL:10%,19290.77595024681,92.9077595024681,143.2286498210294,-14.841884773294058,2.494592297649292,4,61.7578889039833,31.1498705984848
9M,EMA(50) | SL:10%,19290.77595024681,92.9077595024681,143.2286498210294,-14.841884773294058,2.494592297649292,4,61.7578889039833,31.1498705984848
9M,EMA(50) | SL:10%,19290.77595024681,92.9077595024681,143.2286498210294,-14.841884773294058,2.494592297649292,4,61.7578889039833,31.1498705984848
9M,"EMA(50) | SL:10% | Pivot(7,7)",19290.77595024681,92.9077595024681,143.2286498210294,-14.841884773294058,2.494592297649292,4,61.7578889039833,31.1498705984848
9M,"EMA(50) | SL:10% | Pivot(7,5)",19290.77595024681,92.9077595024681,143.2286498210294,-14.841884773294058,2.494592297649292,4,61.7578889039833,31.1498705984848
9M,"EMA(50) | SL:10% | Pivot(5,7)",19290.77595024681,92.9077595024681,143.2286498210294,-14.841884773294058,2.494592297649292,4,61.7578889039833,31.1498705984848
9M,"EMA(50) | SL:10% | Pivot(5,5)",19290.77595024681,92.9077595024681,143.2286498210294,-14.841884773294058,2.494592297649292,4,61.7578889039833,31.1498705984848
9M,EMA(9/21),19263.24657683504,92.6324657683504,142.75921159498515,-15.557494049939342,2.468021695307796,2,61.48259516986562,31.1498705984848
9M,EMA(9/21),19263.24657683504,92.6324657683504,142.75921159498515,-15.557494049939342,2.468021695307796,2,61.48259516986562,31.1498705984848
9M,EMA(9/21),19263.24657683504,92.6324657683504,142.75921159498515,-15.557494049939342,2.468021695307796,2,61.48259516986562,31.1498705984848
9M,EMA(9/21),19263.24657683504,92.6324657683504,142.75921159498515,-15.557494049939342,2.468021695307796,2,61.48259516986562,31.1498705984848
9M,"EMA(9/21) | Pivot(7,7)",19263.24657683504,92.6324657683504,142.75921159498515,-15.557494049939342,2.468021695307796,2,61.48259516986562,31.1498705984848
9M,"EMA(9/21) | Pivot(7,5)",19263.24657683504,92.6324657683504,142.75921159498515,-15.557494049939342,2.468021695307796,2,61.48259516986562,31.1498705984848
9M,"EMA(9/21) | Pivot(5,7)",19263.24657683504,92.6324657683504,142.75921159498515,-15.557494049939342,2.468021695307796,2,61.48259516986562,31.1498705984848
9M,"EMA(9/21) | Pivot(5,5)",19263.24657683504,92.6324657683504,142.75921159498515,-15.557494049939342,2.468021695307796,2,61.48259516986562,31.1498705984848
9M,EMA(9/21) | SL:15%,19263.24657683504,92.6324657683504,142.75921159498515,-15.557494049939342,2.468021695307796,2,61.48259516986562,31.1498705984848
9M,EMA(9/21) | SL:15%,19263.24657683504,92.6324657683504,142.75921159498515,-15.557494049939342,2.468021695307796,2,61.48259516986562,31.1498705984848
9M,EMA(9/21) | SL:15%,19263.24657683504,92.6324657683504,142.75921159498515,-15.557494049939342,2.468021695307796,2,61.48259516986562,31.1498705984848
9M,EMA(9/21) | SL:15%,19263.24657683504,92.6324657683504,142.75921159498515,-15.557494049939342,2.468021695307796,2,61.48259516986562,31.1498705984848
9M,"EMA(9/21) | SL:15% | Pivot(7,7)",19263.24657683504,92.6324657683504,142.75921159498515,-15.557494049939342,2.468021695307796,2,61.48259516986562,31.1498705984848
