Period,Parameters,Final Value,Total Return %,CAGR %,Max Drawdown %,Sharpe Ratio,Trades,vs QQQ %,QQQ Return %
6M,"EMA(12/50) | SL:15% | Pivot(5,5)",15288.761019525473,52.88761019525473,136.658501128254,-20.244927989721013,2.2020264673821828,2,35.80257720409804,17.085032991156694
6M,"EMA(12/50) | SL:15% | Pivot(5,7)",15288.761019525473,52.88761019525473,136.658501128254,-20.244927989721013,2.2020264673821828,2,35.80257720409804,17.085032991156694
6M,"EMA(12/50) | SL:15% | Pivot(7,5)",15288.761019525473,52.88761019525473,136.658501128254,-20.244927989721013,2.2020264673821828,2,35.80257720409804,17.085032991156694
6M,"EMA(12/50) | SL:15% | Pivot(7,7)",15288.761019525473,52.88761019525473,136.658501128254,-20.244927989721013,2.2020264673821828,2,35.80257720409804,17.085032991156694
6M,EMA(12/50) | SL:15%,15288.761019525473,52.88761019525473,136.658501128254,-20.244927989721013,2.2020264673821828,2,35.80257720409804,17.085032991156694
6M,EMA(12/50) | SL:15%,15288.761019525473,52.88761019525473,136.658501128254,-20.244927989721013,2.2020264673821828,2,35.80257720409804,17.085032991156694
6M,EMA(12/50) | SL:15%,15288.761019525473,52.88761019525473,136.658501128254,-20.244927989721013,2.2020264673821828,2,35.80257720409804,17.085032991156694
6M,EMA(12/50) | SL:15%,15288.761019525473,52.88761019525473,136.658501128254,-20.244927989721013,2.2020264673821828,2,35.80257720409804,17.085032991156694
6M,EMA(12/50),14765.439626199166,47.654396261991664,120.51042036917973,-22.97487682965354,2.0266524860200827,1,30.56936327083497,17.085032991156694
6M,EMA(12/50),14765.439626199166,47.654396261991664,120.51042036917973,-22.97487682965354,2.0266524860200827,1,30.56936327083497,17.085032991156694
6M,EMA(12/50),14765.439626199166,47.654396261991664,120.51042036917973,-22.97487682965354,2.0266524860200827,1,30.56936327083497,17.085032991156694
6M,EMA(12/50),14765.439626199166,47.654396261991664,120.51042036917973,-22.97487682965354,2.0266524860200827,1,30.56936327083497,17.085032991156694
6M,"EMA(12/50) | Pivot(7,7)",14765.439626199166,47.654396261991664,120.51042036917973,-22.97487682965354,2.0266524860200827,1,30.56936327083497,17.085032991156694
6M,"EMA(12/50) | Pivot(7,5)",14765.439626199166,47.654396261991664,120.51042036917973,-22.97487682965354,2.0266524860200827,1,30.56936327083497,17.085032991156694
6M,"EMA(12/50) | Pivot(5,7)",14765.439626199166,47.654396261991664,120.51042036917973,-22.97487682965354,2.0266524860200827,1,30.56936327083497,17.085032991156694
