Period,Parameters,Final Value,Total Return %,CAGR %,Max Drawdown %,Sharpe Ratio,Trades,vs QQQ %,QQQ Return %
5Y,"EMA(12/50) | RSI>50 | SL:15% | Pivot(7,7)",37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,"EMA(12/50) | RSI>50 | SL:15% | Pivot(7,5)",37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,"EMA(12/50) | RSI>50 | SL:15% | Pivot(5,7)",37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,"EMA(12/50) | RSI>50 | Pivot(5,5)",37342.0787477328,273.420787477328,30.172151041678408,-38.45475445621628,1.0090784780486606,113,170.53390722424658,102.8868802530814
5Y,"EMA(12/50) | RSI>50 | SL:10% | Pivot(5,5)",36726.866639098094,267.26866639098097,29.740082767134663,-38.24618961441097,0.9983544814768244,113,164.38178613789958,102.8868802530814
5Y,EMA(12/50) | RSI>50 | SL:10%,36726.866639098094,267.26866639098097,29.740082767134663,-38.24618961441097,0.9983544814768244,113,164.38178613789958,102.8868802530814
5Y,"EMA(12/50) | RSI>50 | SL:10% | Pivot(7,5)",36726.866639098094,267.26866639098097,29.740082767134663,-38.24618961441097,0.9983544814768244,113,164.38178613789958,102.8868802530814
5Y,EMA(12/50) | RSI>50 | SL:10%,36726.866639098094,267.26866639098097,29.740082767134663,-38.24618961441097,0.9983544814768244,113,164.38178613789958,102.8868802530814
5Y,EMA(12/50) | RSI>50 | SL:10%,36726.866639098094,267.26866639098097,29.740082767134663,-38.24618961441097,0.9983544814768244,113,164.38178613789958,102.8868802530814
5Y,EMA(12/50) | RSI>50 | SL:10%,36726.866639098094,267.26866639098097,29.740082767134663,-38.24618961441097,0.9983544814768244,113,164.38178613789958,102.8868802530814
5Y,"EMA(12/50) | RSI>50 | SL:10% | Pivot(7,7)",36726.866639098094,267.26866639098097,29.740082767134663,-38.24618961441097,0.9983544814768244,113,164.38178613789958,102.8868802530814
5Y,"EMA(12/50) | RSI>50 | SL:10% | Pivot(5,7)",36726.866639098094,267.26866639098097,29.740082767134663,-38.24618961441097,0.9983544814768244,113,164.38178613789958,102.8868802530814
3Y,EMA(50),36993.01050274371,269.9301050274371,54.70449516626621,-35.26130159441133,1.209025107369586,21,149.57429490966405,120.35581011777305
3Y,EMA(50),36993.01050274371,269.9301050274371,54.70449516626621,-35.26130159441133,1.209025107369586,21,149.57429490966405,120.35581011777305
3Y,EMA(50),36993.01050274371,269.9301050274371,54.70449516626621,-35.26130159441133,1.209025107369586,21,149.57429490966405,120.35581011777305
3Y,EMA(50),36993.01050274371,269.9301050274371,54.70449516626621,-35.26130159441133,1.209025107369586,21,149.57429490966405,120.35581011777305
3Y,"EMA(50) | Pivot(7,7)",36993.01050274371,269.9301050274371,54.70449516626621,-35.26130159441133,1.209025107369586,21,149.57429490966405,120.35581011777305
3Y,"EMA(50) | Pivot(7,5)",36993.01050274371,269.9301050274371,54.70449516626621,-35.26130159441133,1.209025107369586,21,149.57429490966405,120.35581011777305
3Y,"EMA(50) | Pivot(5,7)",36993.01050274371,269.9301050274371,54.70449516626621,-35.26130159441133,1.209025107369586,21,149.57429490966405,120.35581011777305
3Y,"EMA(50) | Pivot(5,5)",36993.01050274371,269.9301050274371,54.70449516626621,-35.26130159441133,1.209025107369586,21,149.57429490966405,120.35581011777305
5Y,"EMA(12/21) | SL:15% | Pivot(5,5)",33096.556828499626,230.96556828499627,27.06553403312588,-44.94046424042413,0.7789503986225149,26,128.07868803191488,102.8868802530814
5Y,"EMA(12/21) | SL:15% | Pivot(5,7)",33096.556828499626,230.96556828499627,27.06553403312588,-44.94046424042413,0.7789503986225149,26,128.07868803191488,102.8868802530814
